Date,Ticker,Open,Close,Volume,Sector,Industry
2020-08-10,AAPL,112.6,112.73,212403600,Technology,Consumer Electronics
2020-08-11,AAPL,111.97,109.38,187902400,Technology,Consumer Electronics
2020-08-12,AAPL,110.5,113.01,165944800,Technology,Consumer Electronics
2020-08-13,AAPL,114.43,115.01,210082000,Technology,Consumer Electronics
2020-08-14,AAPL,114.83,114.91,165565200,Technology,Consumer Electronics
2020-08-17,AAPL,116.06,114.61,119561600,Technology,Consumer Electronics
2020-08-18,AAPL,114.35,115.56,105633600,Technology,Consumer Electronics
2020-08-19,AAPL,115.98,115.71,145538000,Technology,Consumer Electronics
2020-08-20,AAPL,115.75,118.28,126907200,Technology,Consumer Electronics
2020-08-21,AAPL,119.26,124.37,338054800,Technology,Consumer Electronics
2020-08-24,AAPL,128.7,125.86,345937600,Technology,Consumer Electronics
2020-08-25,AAPL,124.7,124.82,211495600,Technology,Consumer Electronics
2020-08-26,AAPL,126.18,126.52,163022400,Technology,Consumer Electronics
2020-08-27,AAPL,127.14,125.01,155552400,Technology,Consumer Electronics
2020-08-28,AAPL,126.01,124.81,187630000,Technology,Consumer Electronics
2020-08-31,AAPL,127.58,129.04,225702700,Technology,Consumer Electronics
2020-09-01,AAPL,132.76,134.18,152470100,Technology,Consumer Electronics
2020-09-02,AAPL,137.59,131.4,200119000,Technology,Consumer Electronics
2020-09-03,AAPL,126.91,120.88,257599600,Technology,Consumer Electronics
2020-09-04,AAPL,120.07,120.96,332607200,Technology,Consumer Electronics
2020-09-08,AAPL,113.95,112.82,231366600,Technology,Consumer Electronics
2020-09-09,AAPL,117.26,117.32,176940500,Technology,Consumer Electronics
2020-09-10,AAPL,120.36,113.49,182274400,Technology,Consumer Electronics
2020-09-11,AAPL,114.57,112.0,180860300,Technology,Consumer Electronics
2020-09-14,AAPL,114.72,115.36,140150100,Technology,Consumer Electronics
2020-09-15,AAPL,118.33,115.54,184642000,Technology,Consumer Electronics
2020-09-16,AAPL,115.23,112.13,154679000,Technology,Consumer Electronics
2020-09-17,AAPL,109.72,110.34,178011000,Technology,Consumer Electronics
2020-09-18,AAPL,110.4,106.84,287104900,Technology,Consumer Electronics
2020-09-21,AAPL,104.54,110.08,195713800,Technology,Consumer Electronics
2020-09-22,AAPL,112.68,111.81,183055400,Technology,Consumer Electronics
2020-09-23,AAPL,111.62,107.12,150718700,Technology,Consumer Electronics
2020-09-24,AAPL,105.17,108.22,167743300,Technology,Consumer Electronics
2020-09-25,AAPL,108.43,112.28,149981400,Technology,Consumer Electronics
2020-09-28,AAPL,115.01,114.96,137672400,Technology,Consumer Electronics
2020-09-29,AAPL,114.55,114.09,99382200,Technology,Consumer Electronics
2020-09-30,AAPL,113.79,115.81,142675200,Technology,Consumer Electronics
2020-10-01,AAPL,117.64,116.79,116120400,Technology,Consumer Electronics
2020-10-02,AAPL,112.89,113.02,144712000,Technology,Consumer Electronics
2020-10-05,AAPL,113.91,116.5,106243800,Technology,Consumer Electronics
2020-10-06,AAPL,115.7,113.16,161498200,Technology,Consumer Electronics
2020-10-07,AAPL,114.62,115.08,96849000,Technology,Consumer Electronics
2020-10-08,AAPL,116.25,114.97,83477200,Technology,Consumer Electronics
